index,team.name,abbreviation,city,state,zip,type,lat,long,region
251,University of Florida Quidditch,uf-quidditch,Gainesville,FL,32607,College,29.6456,-82.4033,SE
256,University of Miami,umiami,Coral Gables,FL,33146,College,25.7201,-80.2746,SE
264,University of South Alabama,usa-quidditch,Mobile,AL,36688,College,30.6966,-88.1741,SE
265,University of South Carolina,gamecocks-1,Columbia,SC,29208,College,33.9964,-81.0265,SE
266,University of South Florida Quidditch,south-florida-quidditch,Tampa,FL,33620,College,28.0695,-82.4092,SE
269,University of Southern Mississippi,southern-miss,Hattiesburg,MS,39406,College,31.3282,-89.3303,SE
285,Winthrop University Quidditch Team,winthrop-quidditch,Rock Hill,SC,29733,College,34.9415,-81.0309,SE
10,Arkansas State RedWolf Quidditch,redwolf-quidditch,State University,AR,72467,College,35.9149,-90.4542,SW
11,Arkansas Tech Quidditch Club,atu-quidditch,Russellville,Ar,72801,College,35.2842,-93.1315,SW
12,Austin Quidditch,austin-quidditch-1,Austin,TX,78712-1401,College,30.2858,-97.7349,SW
14,Baylor University,the-bears,Waco,TX,76798,College,31.5446,-97.1192,SW
38,Clone Star Quidditch Club,clone-star,League City,TX,77573,Adult Community,29.5173,-95.0963,SW
44,Cougar Quidditch,cougar-quidditch,Houston,TX,77379,Adult Community,30.0234,-95.5285,SW
50,Death Row Quidditch,death-row,Huntsville,TX,77340,Adult Community,30.7344,-95.5342,SW
51,DeathRow Quidditch Team,deathrow,Taylor,TX,76574,College,30.5807,-97.4401,SW
53,Denver Dementors,denver,Denver,CO,80205,Adult Community,39.759,-104.966,SW
82,Gulf Coast Gumbeaux,gumbeaux,New Orleans,LA,70118,Adult Community,29.9504,-90.1236,SW
88,Houston Cosmos Quidditch Club,houston-cosmos,Houston,TX,77007,Adult Community,29.7736,-95.4034,SW
109,Lone Star Quidditch Club,lone-star-qc,Austin,TX,78758,Adult Community,30.3764,-97.7078,SW
111,Louisiana State University,lsu-quidditch,Baton Rouge,LA,70803,College,30.4124,-91.1822,SW
113,Loyola University New Orleans,loyola,New Orleans ,LA,70118,College,29.9504,-90.1236,SW
114,Lumberjack Quidditch,sfa,Nacogdoches ,TX,75965,College,31.6889,-94.6358,SW
115,Lumberjack Quidditch,lumberjack-quidditch-1,Nacogdoches,TX,75962,College,31.6191,-94.6495,SW
140,North Texas Firebolts,firebolts,Denton,TX,76207,Adult Community,33.2404,-97.1649,SW
146,Oklahoma Baptist University,oklahoma-baptist,Shawnee,OK,74804,College,35.3822,-96.9199,SW
147,Oklahoma Quidditch,ou,Norman,OK,73072,College,35.2107,-97.473,SW
148,Oklahoma Quidditch Club,o-q-c,Oklahoma City,OK,73127,Adult Community,35.4834,-97.6299,SW
149,Oklahoma State University,oklahoma-state,Stillwater,OK,74075,College,36.1396,-97.063,SW
150,Osos De Muerte,osos-1,Waco,TX,76706,College,31.5171,-97.1198,SW
171,Rice Quidditch League,rice-quidditch,Houston,TX,77050,College,29.9015,-95.2848,SW
184,San Marcos Sharknados,sharknados-1,San Marcos,TX,78666,Adult Community,29.8754,-97.9404,SW
187,SHSU Quidditch,sam-houston,Huntsville,TX,77340,College,30.7344,-95.5342,SW
206,Tarleton Honeybadgers,honeybadgers,Stephenville,TX,76401,College,32.2214,-98.2224,SW
211,Texas A&M Quidditch,texas-a-m-quidditch,College Station,TX,77840,College,30.6045,-96.3123,SW
212,Texas Cavalry,cavalry-1,Austin,TX,78751,Adult Community,30.3093,-97.7242,SW
213,Texas Quidditch,texas-quidditch-1,Austin,TX,78712,College,30.2858,-97.7349,SW
214,Texas State University - San Marcos,texas-state,San Marcos,TX,78666,College,29.8754,-97.9404,SW
215,Texas Tech Quidditch,texas-tech,Lubbock,TX,79401,College,33.5865,-101.861,SW
228,The Silver Phoenix,silver-phoenix-1,College Station,TX,77843,College,30.6147,-96.34,SW
237,Tribe,tribe-1,Bonanza,AR,72916,Adult Community,35.2502,-94.3703,SW
238,Tribe Quidditch,tribe,Fort Smith,AR,72908,Adult Community,35.3028,-94.4093,SW
241,Tulane University,tu-quidditch,New Orleans,LA,70118,College,29.9504,-90.1236,SW
242,UAFS Lions Quidditch,uafs,Fort Smith ,AR,72904,College,35.4051,-94.3872,SW
245,University of Arkansas Quidditch Club,arkansas-quidditch-2,Fayetteville,AR,72701,College,36.052,-94.1534,SW
249,University of Colorado Boulder Basilisks,boulder-basilisks,Boulder,CO,80302,College,40.0172,-105.285,SW
259,University of North Texas,north-texas,Denton,TX,76201,College,33.2289,-97.1314,SW
261,University of Oklahoma,crimson-firebolts,Norman,OK,73019,College,35.2212,-97.4448,SW
270,University of Texas at San Antonio,utsa-club-quidditch-2,San Antonio,TX,78249,College,29.5612,-98.6117,SW
279,West Texas Rebels Quidditch Club,west-texas-rebels,El Paso,TX,79968,College,31.7707,-106.504,SW
15,Big Sky Flyers Quidditch,big-sky-flyers,Bozeman,MT,59715,College,45.6693,-111.043,NW
19,Boise State Abraxans,abraxans,Boise,ID,83725,College,43.605,-116.205,NW
20,Boise State Thestrals,thestrals-1,Boise,ID,83725,College,43.605,-116.205,NW
26,British Columbia Quidditch Club,british-columbia,Vancouver,WA,V6S 1E9,College,49.255,-123.187,NW
64,Emerald City Admirals,the-admirals,Seattle,WA,98117,Adult Community,47.6873,-122.377,NW
120,McNary Celtics Quidditch,mcnary,Keizer,OR,97303,High School,44.9858,-123.019,NW
130,Moscow Manticores at the University of Idaho,moscow-manticores-1,Moscow,ID,83843,College,46.7309,-116.99,NW
156,Portland Augureys,augureys-2,Vancouver,WA,98662,Adult Community,45.6745,-122.576,NW
167,Rain City Raptors,raptors-1,Bellevue,WA,98004,Adult Community,47.6199,-122.207,NW
168,Raisbeck Aviation High School Fawkes Quidditch,fawkes,Burien,WA,98148,High School,47.4502,-122.326,NW
186,Seattle Salamanders,salamanders,Seattle,WA,98102,Adult Community,47.6302,-122.321,NW
224,The Moscow Manticores at the University of Idaho,moscow-manticores,Moscow,ID,83843,College,46.7309,-116.99,NW
246,University of British Columbia,ubc-thunderbirds,"Vancouver,  BC,  Canada",AK,V6T 1Z4,College,49.255,-123.187,NW
282,Western Washington Wyverns,wyverns,Bellingham,WA,98225,College,48.749,-122.489,NW
13,Ball State Cardinals,ball-state,Muncie,IN,47306,College,40.1927,-85.4102,GL
24,Bowling Green State University,bg-quidditch,Bowling Green,OH,43402,College,41.3815,-83.6507,GL
62,Eastern Michigan Quidditch,emu-quidditch,Ypsilanti,MI,48197,College,42.2325,-83.6336,GL
68,Falcon Warriors Quidditch Club,falcon-warriors,Bowling Green,OH,43402,Adult Community,41.3815,-83.6507,GL
80,Grand Valley Quidditch,gv-grindylows,Allendale,MI,49401,College,42.9711,-85.9249,GL
92,Indiana University Quidditch,iu-quidditch,Bloomington,IN,47405,College,39.168,-86.5205,GL
105,Lake Effect Maelstrom,maelstrom-1,Dayton,OH,45410,Adult Community,39.7474,-84.16,GL
106,Lake Effect Tempest,tempest,Chardon,OH,44024,Adult Community,41.5719,-81.2056,GL
107,Lake Erie Elite,lake-erie,Ann Arbor,MI,48104,Adult Community,42.2694,-83.7282,GL
121,Miami University,miami-university,Oxford,OH,45056,College,39.5038,-84.7385,GL
